year,week,injury_type,game_status
2016,1,Hamstring,Doubtful
2016,1,Knee,Questionable
2016,1,Knee,Questionable
2016,1,Ankle,Questionable
2016,1,Knee,Questionable
2016,1,Ankle,Questionable
2016,1,Ankle,Out
2016,1,Hamstring,Out
2016,1,Hand,Questionable
2016,1,Back,Questionable
2016,1,Hamstring,Out
2016,1,Achilles,Questionable
2016,1,Back,Questionable
2016,1,Shoulder,Questionable
2016,1,Ankle,Questionable
2016,1,Groin,Questionable
2016,2,Knee,Out
2016,2,Foot,Questionable
2016,2,Shoulder,Questionable
2016,2,Ankle,Questionable
2016,2,Knee,Out
2016,2,Knee,Questionable
2016,2,Ankle,Out
2016,2,Knee,Out
2016,2,Shoulder,Questionable
2016,2,Knee,Out
2016,2,Foot,Out
2016,2,Thigh,Questionable
2016,2,Calf,Questionable
2016,2,Ankle,Questionable
2016,2,Ankle,Questionable
2016,2,Shoulder,Questionable
2016,2,Foot,Out
2016,2,Knee,Questionable
2016,2,Ankle,Questionable
2016,2,Ankle,Out
2016,2,Shoulder,Questionable
2016,2,Hamstring,Questionable
2016,2,Foot,Questionable
2016,2,Knee,Questionable
2016,2,Hamstring,Questionable
2016,2,Ankle,Questionable
2016,2,Knee,Questionable
2016,2,Ankle,Out
2016,2,Ankle,Questionable
2016,2,Shoulder,Questionable
2016,2,Groin,Questionable
2016,2,Achilles,Out
2016,2,Back,Out
2016,2,Hamstring,Questionable
2016,2,Ankle,Questionable
2016,2,Back,Out
2016,2,Elbow,Out
2016,2,Elbow,Questionable
2016,2,Hip,Questionable
2016,2,Neck,Questionable
2016,2,Shoulder,Questionable
2016,2,Ankle,Questionable
2016,2,Quadricep,Doubtful
2016,2,Shoulder,Questionable
2016,2,Hamstring,Doubtful
2016,2,Shoulder,Questionable
2016,2,Hamstring,Doubtful
2016,2,Hamstring,Out
2016,2,Concussion,Doubtful
2016,2,Calf,Questionable
2016,2,Knee,Out
2016,2,Groin,Questionable
2016,2,Knee,Out
2016,2,Knee,Questionable
2016,2,Knee,Out
2016,2,Ankle,Questionable
2016,2,Back,Doubtful
2016,2,Hamstring,Questionable
2016,2,Ankle,Out
2016,2,Foot,Questionable
2016,2,Knee,Out
2016,2,Foot,Questionable
2016,2,Knee,Questionable
2016,2,Foot,Questionable
2016,2,Concussion,Out
2016,2,Hamstring,Out
2016,2,Hamstring,Out
2016,2,Knee,Doubtful
2016,2,Ankle,Out
2016,2,Concussion,Out
2016,2,Thigh,Questionable
2016,2,Shoulder,Doubtful
2016,2,Thigh,Out
2016,2,Foot,Questionable
2016,2,Knee,Out
2016,2,Thigh,Questionable
2016,2,Hamstring,Questionable
2016,2,Knee,Questionable
2016,2,Knee,Questionable
2016,2,Hamstring,Questionable
2016,2,Bicep,Questionable
2016,2,Ankle,Questionable
2016,2,Hip,Out
2016,2,Concussion,Questionable
2016,2,Knee,Out
2016,2,Hip,Questionable
2016,2,Knee,Out
2016,2,Knee,Out
2016,2,Ankle,Questionable
2016,2,Knee,Questionable
2016,2,Foot,Questionable
2016,2,Shoulder,Questionable
2016,2,Hamstring,Questionable
2016,2,Knee,Doubtful
2016,2,Shoulder,Questionable
2016,2,Hand,Questionable
2016,2,Shoulder,Questionable
2016,2,Ankle,Out
2016,2,Hamstring,Questionable
2016,2,Quadricep,Questionable
2016,2,Fibula,Out
2016,2,Quadricep,Out
2016,2,Ankle,Out
2016,2,Shoulder,Questionable
2016,2,Illness,Out
2016,2,Shoulder,Questionable
2016,2,Shoulder,Questionable
2016,2,Calf,Doubtful
2016,2,Shoulder,Out
2016,2,Foot,Doubtful
2016,2,Ankle,Questionable
2016,2,Knee,Questionable
2016,2,Knee,Questionable
2016,2,Concussion,Questionable
2016,2,Knee,Doubtful
2016,2,Groin,Doubtful
2016,2,Rib,Out
2016,2,Hamstring,Out
2016,2,Foot,Out
2016,2,Back,Out
2016,2,Knee,Questionable
2016,2,Knee,Out
2016,2,Shoulder,Questionable
2016,2,Hamstring,Out
2016,2,Ankle,Questionable
2016,2,Concussion,Out
2016,2,Hamstring,Questionable
2016,2,Ankle,Questionable
2016,2,Ankle,Questionable
2016,2,Ankle,Out
2016,2,Wrist,Questionable
2016,2,Ankle,Out
2016,2,Ankle,Questionable
2016,2,Ankle,Questionable
2016,2,Hamstring,Questionable
2016,2,Shoulder,Questionable
2016,2,Knee,Questionable
2016,2,Hand,Questionable
2016,2,Hamstring,Out
2016,2,Hamstring,Out
2016,2,Rib,Questionable
2016,2,Hip,Questionable
2016,2,Achilles,Questionable
2016,2,Groin,Out
2016,2,Concussion,Out
2016,2,Glute,Questionable
2016,3,Foot,Questionable
2016,3,Knee,Doubtful
2016,3,Foot,Out
2016,3,Ankle,Questionable
2016,3,Knee,Doubtful
2016,3,Ankle,Out
2016,3,Calf,Questionable
2016,3,Groin,Out
2016,3,Knee,Out
2016,3,Foot,Questionable
2016,3,Foot,Questionable
2016,3,Shoulder,Questionable
2016,3,Foot,Out
2016,3,Knee,Questionable
2016,3,Hamstring,Questionable
2016,3,Ankle,Out
2016,3,Shoulder,Questionable
2016,3,Groin,Questionable
2016,3,Foot,Questionable
2016,3,Hamstring,Doubtful
2016,3,Shoulder,Questionable
2016,3,Hamstring,Out
2016,3,Ankle,Questionable
2016,3,Concussion,Questionable
2016,3,Concussion,Questionable
2016,3,Hamstring,Doubtful
2016,3,Thumb,Doubtful
2016,3,Knee,Questionable
2016,3,Ankle,Doubtful
2016,3,Knee,Questionable
2016,3,Toe,Questionable
2016,3,Knee,Questionable
2016,3,Calf,Questionable
2016,3,Shoulder,Questionable
2016,3,Elbow,Questionable
2016,3,Thumb,Out
2016,3,Knee,Questionable
2016,3,Hamstring,Questionable
2016,3,Ankle,Doubtful
2016,3,Back,Questionable
2016,3,Hamstring,Out
2016,3,Hand,Out
2016,3,Chest,Out
2016,3,Groin,Questionable
2016,3,Shoulder,Out
2016,3,Knee,Questionable
2016,3,Hand,Out
2016,3,Shoulder,Questionable
2016,3,Quadricep,Questionable
2016,3,Achilles,Doubtful
2016,3,Back,Out
2016,3,Hamstring,Questionable
2016,3,Back,Questionable
2016,3,Back,Out
2016,3,Elbow,Questionable
2016,3,Calf,Out
2016,3,Ankle,Questionable
2016,3,Hand,Questionable
2016,3,Calf,Out
2016,3,Forearm,Out
2016,3,Elbow,Questionable
2016,3,Ankle,Out
2016,3,Ankle,Questionable
2016,3,Back,Questionable
2016,3,Abdomen,Questionable
2016,3,Quadricep,Doubtful
2016,3,Ankle,Questionable
2016,3,Ankle,Questionable
2016,3,Calf,Questionable
2016,3,Calf,Questionable
2016,3,Illness,Questionable
2016,3,Hamstring,Doubtful
2016,3,Groin,Questionable
2016,3,Knee,Questionable
2016,3,Knee,Questionable
2016,3,Hip,Questionable
2016,3,Ankle,Questionable
2016,3,Concussion,Out
2016,3,Knee,Out
2016,3,Knee,Out
2016,3,Hamstring,Out
2016,3,Hamstring,Out
2016,3,Back,Questionable
2016,3,Ankle,Questionable
2016,3,Foot,Questionable
2016,3,Back,Out
2016,3,Knee,Questionable
2016,3,Knee,Questionable
2016,3,Shoulder,Questionable
2016,3,Shoulder,Questionable
2016,3,Shoulder,Out
2016,3,Concussion,Out
2016,3,Hamstring,Questionable
2016,3,Concussion,Out
2016,3,Hamstring,Questionable
2016,3,Knee,Out
2016,3,Knee,Questionable
2016,3,Tricep,Questionable
2016,3,Hamstring,Out
2016,3,Knee,Doubtful
2016,3,Ankle,Questionable
2016,3,Concussion,Out
2016,3,Knee,Questionable
2016,3,Knee,Out
2016,3,Thigh,Questionable
2016,3,Shoulder,Doubtful
2016,3,Knee,Questionable
2016,3,Thigh,Questionable
2016,3,Toe,Questionable
2016,3,Knee,Doubtful
2016,3,Groin,Out
2016,3,Knee,Questionable
2016,3,Knee,Questionable
2016,3,Ankle,Questionable
2016,3,Shoulder,Questionable
2016,3,Hamstring,Questionable
2016,3,Neck,Questionable
2016,3,Hip,Out
2016,3,Knee,Out
2016,3,Knee,Out
2016,3,Knee,Questionable
2016,3,Knee,Questionable
2016,3,Foot,Questionable
2016,3,Shoulder,Questionable
2016,3,Shoulder,Questionable
2016,3,Shoulder,Doubtful
2016,3,Hamstring,Questionable
2016,3,Knee,Questionable
2016,3,Ankle,Questionable
2016,3,Knee,Out
2016,3,Fibula,Out
2016,3,Shoulder,Questionable
2016,3,Quadricep,Questionable
2016,3,Ankle,Questionable
2016,3,Knee,Questionable
2016,3,Toe,Questionable
2016,3,Ankle,Questionable
2016,3,Thumb,Questionable
2016,3,Calf,Out
2016,3,Illness,Out
2016,3,Foot,Out
2016,3,Shoulder,Questionable
2016,3,Foot,Questionable
2016,3,Foot,Questionable
2016,3,Shoulder,Out
2016,3,Concussion,Questionable
2016,3,Ankle,Out
2016,3,Knee,Questionable
2016,3,Knee,Questionable
2016,3,Knee,Questionable
2016,3,Concussion,Questionable
2016,3,Knee,Out
2016,3,Hip,Questionable
2016,3,Groin,Questionable
2016,3,Rib,Out
2016,3,Nose,Questionable
2016,3,Hamstring,Out
2016,3,Pectoral,Out
2016,3,Elbow,Questionable
2016,3,Foot,Out
2016,3,Back,Doubtful
2016,3,Knee,Out
2016,3,Collarbone,Out
2016,3,Hamstring,Out
2016,3,Hamstring,Questionable
2016,3,Hamstring,Doubtful
2016,3,Ankle,Questionable
2016,3,Concussion,Out
2016,3,Knee,Questionable
2016,3,Ankle,Doubtful
2016,3,Knee,Questionable
2016,3,Wrist,Questionable
2016,3,Shin,Doubtful
2016,3,Ankle,Doubtful
2016,3,Ankle,Out
2016,3,Shoulder,Questionable
2016,3,Hamstring,Out
2016,3,Hamstring,Out
2016,3,Hip,Questionable
2016,3,Hand,Questionable
2016,3,Ankle,Out
2016,3,Hamstring,Questionable
2016,3,Hamstring,Questionable
2016,3,Hamstring,Questionable
2016,3,Rib,Questionable
2016,3,Hip,Questionable
2016,3,Achilles,Questionable
2016,3,Back,Questionable
2016,3,Foot,Questionable
2016,3,Groin,Out
2016,3,Concussion,Questionable
2016,4,Foot,Questionable
2016,4,Groin,Questionable
2016,4,Calf,Out
2016,4,Knee,Questionable
2016,4,Knee,Out
2016,4,Ankle,Out
2016,4,Groin,Out
2016,4,Thigh,Questionable
2016,4,Knee,Doubtful
2016,4,Foot,Questionable
2016,4,Thigh,Questionable
2016,4,Knee,Questionable
2016,4,Concussion,Questionable
2016,4,Thigh,Doubtful
2016,4,Foot,Doubtful
2016,4,Shoulder,Questionable
2016,4,Foot,Questionable
2016,4,Knee,Questionable
2016,4,Hamstring,Questionable
2016,4,Ankle,Questionable
2016,4,Shoulder,Questionable
2016,4,Ankle,Out
2016,4,Knee,Out
2016,4,Foot,Questionable
2016,4,Groin,Out
2016,4,Foot,Out
2016,4,Ankle,Questionable
2016,4,Ankle,Out
2016,4,Quadricep,Questionable
2016,4,Concussion,Out
2016,4,Hamstring,Out
2016,4,Toe,Questionable
2016,4,Hamstring,Doubtful
2016,4,Thumb,Doubtful
2016,4,Ankle,Doubtful
2016,4,Hamstring,Questionable
2016,4,Concussion,Questionable
2016,4,Ankle,Doubtful
2016,4,Hamstring,Questionable
2016,4,Knee,Questionable
2016,4,Shoulder,Questionable
2016,4,Thumb,Doubtful
2016,4,Knee,Questionable
2016,4,Ankle,Doubtful
2016,4,Hamstring,Doubtful
2016,4,Chest,Questionable
2016,4,Hamstring,Questionable
2016,4,Hand,Out
2016,4,Knee,Out
2016,4,Chest,Out
2016,4,Groin,Questionable
2016,4,Shoulder,Out
2016,4,Hand,Out
2016,4,Ankle,Out
2016,4,Shoulder,Doubtful
2016,4,Knee,Questionable
2016,4,Toe,Out
2016,4,Shoulder,Questionable
2016,4,Quadricep,Questionable
2016,4,Neck,Questionable
2016,4,Knee,Questionable
2016,4,Achilles,Questionable
2016,4,Back,Out
2016,4,Hamstring,Questionable
2016,4,Back,Questionable
2016,4,Calf,Out
2016,4,Knee,Questionable
2016,4,Hand,Questionable
2016,4,Calf,Out
2016,4,Forearm,Out
2016,4,Ankle,Out
2016,4,Ankle,Questionable
2016,4,Ankle,Questionable
2016,4,Abdomen,Questionable
2016,4,Hamstring,Questionable
2016,4,Quadricep,Out
2016,4,Ankle,Questionable
2016,4,Ankle,Questionable
2016,4,Hamstring,Questionable
2016,4,Neck,Questionable
2016,4,Hamstring,Out
2016,4,Knee,Out
2016,4,Knee,Questionable
2016,4,Hamstring,Questionable
2016,4,Ankle,Out
2016,4,Hamstring,Out
2016,4,Hamstring,Out
2016,4,Ankle,Questionable
2016,4,Back,Questionable
2016,4,Illness,Out
2016,4,Shoulder,Out
2016,4,Back,Questionable
2016,4,Knee,Out
2016,4,Tricep,Out
2016,4,Hip,Questionable
2016,4,Elbow,Questionable
2016,4,Knee,Questionable
2016,4,Knee,Questionable
2016,4,Knee,Questionable
2016,4,Knee,Out
2016,4,Ankle,Out
2016,4,Shoulder,Questionable
2016,4,Thigh,Questionable
2016,4,Illness,Questionable
2016,4,Ankle,Doubtful
2016,4,Toe,Questionable
2016,4,Ankle,Questionable
2016,4,Hamstring,Questionable
2016,4,Concussion,Out
2016,4,Hamstring,Out
2016,4,Quadricep,Questionable
2016,4,Groin,Doubtful
2016,4,Ankle,Questionable
2016,4,Knee,Questionable
2016,4,Shoulder,Questionable
2016,4,Neck,Out
2016,4,Hamstring,Questionable
2016,4,Neck,Questionable
2016,4,Hip,Out
2016,4,Ankle,Questionable
2016,4,Ankle,Doubtful
2016,4,Knee,Questionable
2016,4,Knee,Questionable
2016,4,Thumb,Questionable
2016,4,Calf,Questionable
2016,4,Foot,Questionable
2016,4,Shoulder,Questionable
2016,4,Shoulder,Questionable
2016,4,Hamstring,Questionable
2016,4,Knee,Questionable
2016,4,Ankle,Questionable
2016,4,Knee,Out
2016,4,Fibula,Out
2016,4,Shoulder,Questionable
2016,4,Quadricep,Questionable
2016,4,Ankle,Out
2016,4,Hamstring,Out
2016,4,Quadricep,Questionable
2016,4,Toe,Questionable
2016,4,Ankle,Questionable
2016,4,Hamstring,Doubtful
2016,4,Concussion,Out
2016,4,Thumb,Questionable
2016,4,Calf,Out
2016,4,Groin,Questionable
2016,4,Illness,Out
2016,4,Foot,Out
2016,4,Ankle,Questionable
2016,4,Shoulder,Questionable
2016,4,Shoulder,Out
2016,4,Shoulder,Out
2016,4,Shoulder,Out
2016,4,Quadricep,Out
2016,4,Ankle,Out
2016,4,Knee,Questionable
2016,4,Knee,Questionable
2016,4,Knee,Questionable
2016,4,Calf,Out
2016,4,Chest,Out
2016,4,Hamstring,Out
2016,4,Foot,Out
2016,4,Back,Out
2016,4,Toe,Out
2016,4,Knee,Out
2016,4,Knee,Out
2016,4,Collarbone,Out
2016,4,Foot,Questionable
2016,4,Hamstring,Out
2016,4,Hamstring,Questionable
2016,4,Illness,Doubtful
2016,4,Concussion,Out
2016,4,Back,Questionable
2016,4,Hamstring,Doubtful
2016,4,Back,Questionable
2016,4,Hip,Questionable
2016,4,Quadricep,Out
2016,4,Knee,Questionable
2016,4,Hip,Questionable
2016,4,Wrist,Questionable
2016,4,Fibula,Out
2016,4,Hip,Questionable
2016,4,Ankle,Questionable
2016,4,Ankle,Out
2016,4,Ankle,Questionable
2016,4,Hamstring,Out
2016,4,Hamstring,Out
2016,4,Ankle,Out
2016,4,Knee,Questionable
2016,4,Hamstring,Out
2016,4,Ankle,Out
2016,4,Hamstring,Questionable
2016,4,Ankle,Out
2016,4,Achilles,Out
2016,4,Ankle,Out
2016,4,Elbow,Questionable
2016,4,Hamstring,Out
2016,4,Groin,Questionable
2016,5,Foot,Questionable
2016,5,Shoulder,Out
2016,5,Chest,Questionable
2016,5,Concussion,Out
2016,5,Knee,Questionable
2016,5,Toe,Out
2016,5,Ankle,Out
2016,5,Ankle,Out
2016,5,Groin,Out
2016,5,Knee,Questionable
2016,5,Thigh,Questionable
2016,5,Thigh,Questionable
2016,5,Foot,Doubtful
2016,5,Knee,Questionable
2016,5,Hamstring,Questionable
2016,5,Back,Questionable
2016,5,Ankle,Questionable
2016,5,Ankle,Questionable
2016,5,Ankle,Out
2016,5,Knee,Out
2016,5,Hand,Questionable
2016,5,Foot,Questionable
2016,5,Groin,Out
2016,5,Shoulder,Out
2016,5,Foot,Out
2016,5,Ankle,Out
2016,5,Hamstring,Questionable
2016,5,Foot,Questionable
2016,5,Foot,Questionable
2016,5,Quadricep,Questionable
2016,5,Concussion,Out
2016,5,Concussion,Out
2016,5,Hamstring,Out
2016,5,Hamstring,Questionable
2016,5,Shoulder,Questionable
2016,5,Hamstring,Questionable
2016,5,Thumb,Doubtful
2016,5,Calf,Questionable
2016,5,Ankle,Doubtful
2016,5,Ankle,Doubtful
2016,5,Knee,Questionable
2016,5,Elbow,Questionable
2016,5,Ankle,Doubtful
2016,5,Illness,Questionable
2016,5,Hamstring,Questionable
2016,5,Rib,Questionable
2016,5,Knee,Questionable
2016,5,Calf,Questionable
2016,5,Shoulder,Questionable
2016,5,Thumb,Questionable
2016,5,Ankle,Out
2016,5,Knee,Questionable
2016,5,Shoulder,Questionable
2016,5,Hamstring,Questionable
2016,5,Back,Out
2016,5,Back,Questionable
2016,5,Hamstring,Doubtful
2016,5,Hamstring,Questionable
2016,5,Hand,Out
2016,5,Knee,Out
2016,5,Chest,Out
2016,5,Shoulder,Out
2016,5,Hand,Questionable
2016,5,Knee,Out
2016,5,Ankle,Out
2016,5,Shoulder,Questionable
2016,5,Back,Questionable
2016,5,Knee,Questionable
2016,5,Shoulder,Questionable
2016,5,Knee,Questionable
2016,5,Neck,Questionable
2016,5,Foot,Questionable
2016,5,Concussion,Out
2016,5,Achilles,Questionable
2016,5,Back,Out
2016,5,Hamstring,Questionable
2016,5,Back,Questionable
2016,5,Calf,Questionable
2016,5,Knee,Questionable
2016,5,Shoulder,Questionable
2016,5,Calf,Questionable
2016,5,Forearm,Out
2016,5,Hamstring,Out
2016,5,Ankle,Out
2016,5,Rib,Questionable
2016,5,Ankle,Out
2016,5,Foot,Questionable
2016,5,Quadricep,Out
2016,5,Ankle,Doubtful
2016,5,Neck,Questionable
2016,5,Ankle,Out
2016,5,Groin,Questionable
2016,5,Concussion,Out
2016,5,Hamstring,Out
2016,5,Knee,Questionable
2016,5,Ankle,Out
2016,5,Hamstring,Questionable
2016,5,Hamstring,Questionable
2016,5,Back,Questionable
2016,5,Illness,Out
2016,5,Foot,Questionable
2016,5,Shoulder,Out
2016,5,Back,Questionable
2016,5,Wrist,Questionable
2016,5,Thigh,Questionable
2016,5,Hip,Questionable
2016,5,Thigh,Questionable
2016,5,Groin,Questionable
2016,5,Ankle,Questionable
2016,5,Shoulder,Questionable
2016,5,Ankle,Questionable
2016,5,Concussion,Out
2016,5,Hamstring,Doubtful
2016,5,Knee,Out
2016,5,Groin,Questionable
2016,5,Neck,Out
2016,5,Hip,Questionable
2016,5,Ankle,Questionable
2016,5,Groin,Doubtful
2016,5,Knee,Doubtful
2016,5,Knee,Out
2016,5,Knee,Out
2016,5,Elbow,Out
2016,5,Hip,Questionable
2016,5,Knee,Out
2016,5,Thumb,Out
2016,5,Calf,Questionable
2016,5,Foot,Questionable
2016,5,Shoulder,Questionable
2016,5,Shoulder,Questionable
2016,5,Hamstring,Questionable
2016,5,Knee,Questionable
2016,5,Concussion,Out
2016,5,Shoulder,Questionable
2016,5,Back,Questionable
2016,5,Hamstring,Questionable
2016,5,Concussion,Out
2016,5,Concussion,Out
2016,5,Thumb,Questionable
2016,5,Calf,Out
2016,5,Groin,Questionable
2016,5,Foot,Out
2016,5,Knee,Out
2016,5,Shoulder,Out
2016,5,Knee,Questionable
2016,5,Shoulder,Doubtful
2016,5,Shoulder,Out
2016,5,Hamstring,Doubtful
2016,5,Concussion,Out
2016,5,Quadricep,Out
2016,5,Ankle,Questionable
2016,5,Knee,Questionable
2016,5,Knee,Questionable
2016,5,Toe,Out
2016,5,Quadricep,Questionable
2016,5,Knee,Questionable
2016,5,Calf,Out
2016,5,Calf,Questionable
2016,5,Knee,Out
2016,5,Ankle,Out
2016,5,Hamstring,Out
2016,5,Foot,Out
2016,5,Shin,Out
2016,5,Back,Out
2016,5,Toe,Out
2016,5,Knee,Out
2016,5,Knee,Out
2016,5,Collarbone,Out
2016,5,Foot,Questionable
2016,5,Illness,Questionable
2016,5,Knee,Out
2016,5,Concussion,Out
2016,5,Hamstring,Questionable
2016,5,Shoulder,Questionable
2016,5,Shoulder,Questionable
2016,5,Achilles,Out
2016,5,Foot,Out
2016,5,Knee,Questionable
2016,5,Ankle,Questionable
2016,5,Hip,Questionable
2016,5,Quadricep,Out
2016,5,Ankle,Doubtful
2016,5,Back,Questionable
2016,5,Hamstring,Questionable
2016,5,Hamstring,Doubtful
2016,5,Calf,Doubtful
2016,5,Hamstring,Doubtful
2016,5,Hip,Questionable
2016,5,Hamstring,Out
2016,5,Knee,Doubtful
2016,5,Shoulder,Questionable
2016,5,Ankle,Doubtful
2016,5,Calf,Questionable
2016,5,Shoulder,Questionable
2016,5,Hamstring,Out
2016,5,Ankle,Out
2016,5,Calf,Out
2016,5,Ankle,Out
2016,5,Concussion,Out
2016,5,Achilles,Out
2016,5,Elbow,Questionable
2016,5,Ankle,Questionable
2016,5,Hamstring,Out
2016,6,Ankle,Doubtful
2016,6,Toe,Out
2016,6,Groin,Out
2016,6,Foot,Out
2016,6,Thigh,Doubtful
2016,6,Thigh,Questionable
2016,6,Calf,Questionable
2016,6,Thigh,Doubtful
2016,6,Ankle,Doubtful
2016,6,Foot,Doubtful
2016,6,Thigh,Questionable
2016,6,Chest,Questionable
2016,6,Back,Questionable
2016,6,Shoulder,Doubtful
2016,6,Foot,Questionable
2016,6,Ankle,Questionable
2016,6,Knee,Questionable
2016,6,Hamstring,Doubtful
2016,6,Ankle,Questionable
2016,6,Ankle,Questionable
2016,6,Knee,Questionable
2016,6,Quadricep,Questionable
2016,6,Shoulder,Questionable
2016,6,Ankle,Questionable
2016,6,Knee,Questionable
2016,6,Foot,Out
2016,6,Ankle,Out
2016,6,Quadricep,Questionable
2016,6,Hamstring,Out
2016,6,Concussion,Questionable
2016,6,Concussion,Out
2016,6,Foot,Out
2016,6,Hamstring,Questionable
2016,6,Rib,Questionable
2016,6,Hamstring,Questionable
2016,6,Hamstring,Questionable
2016,6,Thumb,Doubtful
2016,6,Calf,Questionable
2016,6,Wrist,Questionable
2016,6,Ankle,Doubtful
2016,6,Ankle,Out
2016,6,Hamstring,Questionable
2016,6,Ankle,Doubtful
2016,6,Shoulder,Questionable
2016,6,Ankle,Questionable
2016,6,Rib,Questionable
2016,6,Knee,Questionable
2016,6,Calf,Questionable
2016,6,Shoulder,Questionable
2016,6,Knee,Questionable
2016,6,Back,Out
2016,6,Forearm,Questionable
2016,6,Foot,Out
2016,6,Hand,Out
2016,6,Shoulder,Questionable
2016,6,Knee,Out
2016,6,Groin,Questionable
2016,6,Shoulder,Out
2016,6,Ankle,Out
2016,6,Shoulder,Questionable
2016,6,Back,Questionable
2016,6,Knee,Questionable
2016,6,Ankle,Questionable
2016,6,Knee,Questionable
2016,6,Foot,Out
2016,6,Concussion,Questionable
2016,6,Shoulder,Questionable
2016,6,Back,Out
2016,6,Hamstring,Out
2016,6,Back,Questionable
2016,6,Neck,Questionable
2016,6,Shoulder,Questionable
2016,6,Chest,Questionable
2016,6,Shoulder,Questionable
2016,6,Forearm,Out
2016,6,Hamstring,Questionable
2016,6,Ankle,Questionable
2016,6,Ankle,Questionable
2016,6,Rib,Questionable
2016,6,Ankle,Out
2016,6,Quadricep,Out
2016,6,Shoulder,Out
2016,6,Ankle,Out
2016,6,Shoulder,Questionable
2016,6,Neck,Questionable
2016,6,Hip,Questionable
2016,6,Ankle,Questionable
2016,6,Hamstring,Out
2016,6,Ankle,Out
2016,6,Ankle,Questionable
2016,6,Groin,Questionable
2016,6,Concussion,Out
2016,6,Knee,Questionable
2016,6,Concussion,Out
2016,6,Hamstring,Out
2016,6,Calf,Out
2016,6,Hamstring,Questionable
2016,6,Ankle,Out
2016,6,Hamstring,Questionable
2016,6,Ankle,Questionable
2016,6,Quadricep,Out
2016,6,Shin,Questionable
2016,6,Hand,Questionable
2016,6,Illness,Out
2016,6,Hip,Questionable
2016,6,Ankle,Out
2016,6,Shoulder,Out
2016,6,Knee,Questionable
2016,6,Toe,Questionable
2016,6,Achilles,Questionable
2016,6,Foot,Questionable
2016,6,Hip,Questionable
2016,6,Ankle,Questionable
2016,6,Ankle,Out
2016,6,Calf,Questionable
2016,6,Shoulder,Questionable
2016,6,Ankle,Questionable
2016,6,Knee,Questionable
2016,6,Concussion,Out
2016,6,Hamstring,Questionable
2016,6,Ankle,Questionable
2016,6,Calf,Questionable
2016,6,Knee,Out
2016,6,Groin,Questionable
2016,6,Groin,Questionable
2016,6,Ankle,Questionable
